,group1_members1,group1_members2,group1_members3,group1_members4,group2_members1,group2_members2,group2_members3,group2_members4,group3_members1,group3_members2,group3_members3,group3_members4,group4_members1,group4_members2,group4_members3,group4_members4,group1_name,group2_name,group3_name,group4_name
0,sleet,shift,hail,snow,mom,jazz,option,racecar,heat,nets,tab,kayak,level,return,bucks,rain,,,,
1,pump,boot,sneaker,loafer,time,mile,league,yard,sea,us,are,queue,essence,people,foot,why,,,,
2,mouth,pit,cheek,stooge,scarf,gobble,nose,lab,wolf,pom,tenor,amigo,king,peke,chow,eye,,,,
3,puma,adidas,nike,spider,cats,carousel,dust,chicago,sweep,vacuum,mop,bat,iron,super,cabaret,rebecc,,,,
4,peacock,plum,hulu,blue,glum,mayo,netflix,low,relish,tartar,scarlet,green,hulu,prime,ketchup,down,,,,
5,go,boardwalk,royal,sea,ice cube,powder,midnight,q-tip,sister,common,future,baby,chance,sin,jail,wonder,,,,
6,shin,john,ankle,silver,joey,cub,thigh,can,kid,throne,star,knee,cray,jelly,head,calf,,,,
7,chess,queen,king,checkers,ruby,go,cherry,twin,backgammon,locksmith,stop sign,cryptography,florida,fire truck,full,piano,,,,
8,polo,tank,tee,halter,corn,squash,beet,onion,cricket,mantis,fencing,ant,beetle,termite,carrot,cami,,,,
9,lemon,orange,kiwi,grapefruit,jordan,georgia,turkey,chad,crane,togo,fish,goat,swallow,scales,jay,date,,,,
10,coriander,cardamom,clove,ginger,bird,airplane,sweetie,pegasus,sugar,honey,cumin,posh,scary,baby,angel,boo,,,,
11,pod,flock,school,pack,snail,loris,sloth,cot,lust,pride,envy,tan,sin,greed,sec,cot,,,,
12,united,frontier,new,gnu,gnocchi,chi,virgin,iota,delta,nu,spirit,knew,gnat,gnaw,jewel,beta,,,,
13,murphy,mario,pilot,sonic,passport,bunk,warner,marx,trundle,accord,wright,civic,crash,link,canopy,jonas,,,,
14,cluck,caw,tweet,chirp,rod,silver,turquoise,pink,lure,tackle,sparrow,hook,jones,reel,brown,caw,,,,
15,espresso,kelly,americano,fox,pecan,cashew,latte,emerald,walnut,olive,peanut,bean,clean,forest,almond,return,,,,
16,scarf,ascot,tie,love,gain,port,starboard,tide,all,stern,right,bolo,acute,bermuda,era,bow,,,,
17,brown,ribbon,trophy,medal,howser,lat,quinn,commander,pec,bear,house,cup,quad,bill,grey,tri,,,,
18,ivory,cream,eggsshell,poultry,mirror,tiff,row,spat,garlic,beef,pork,venison,crucifix,quarrel,stake,poultry,,,,
19,rye,barley,king,lee,howard,prince,duke,baron,spelt,brown,stone,oat,bong,ford,earl,rye,,,,
20,punk,jazz,rap,amy,jo,kim,wayne,beth,opera,safari,pop,chrome,edge,baby,jon,meg,,,,
21,husky,boxer,poodle,dalmatian,stop,bite,yield,wave,snout,muzzle,beak,trunk,detour,barrier,slow,asleep,,,,
22,vogue,byrd,beach boy,sausage,twist,wired,website,beatle,chain,golf course,rolling stone,dougie,mashed potato,macarena,fortune,monkee,,,,
23,heath,hammer,bounty,sum,switch,genesis,milky way,anvil,wii,stirrup,u,crunch,blink,maroon,cochlea,dreamcast,,,,
24,mousse,pencil,cheesecake,flan,heck,shoot,warthog,darn,narwhal,elephant,walrus,hippo,fudge,tiramisu,horseshoe,handlebar,,,,
25,poland,denmark,portugal,greece,petty,mild,mimic,echo,cruise,parrot,waits,mix,dill,livid,holland,copy,,,,
26,fedora,page,beret,fez,pot,liver,kidney,lung,spine,rabbit,bowler,ass,knife,jacket,heart,cover,,,,
27,grumpy,tiff,bashful,happy,ostrich,emu,penguin,zip,mango,pineapple,banana,coconut,pdf,doc,kiwi,gif,,,,
28,moth,skate,fly,wasp,copy,multiply,divide,subtract,tang,sole,lap,alley,cool,tetra,add,gnat,,,,
29,packer,shoulder,bronco,oklahoma,shell,elbow,raven,hip,spiral,wrist,them,cowboy,airplane,mother,knee,bowtie,,,,
30,,,,,,,,,,,,,,,,,,,,
31,sole,heel,duckie,lace,ryan,sorry,risk,bond,tongue,trouble,smart,soul,cement,hunt,clue,band,,,,
32,tug,ferry,yacht,sub,round,cuban,flank,loin,rob,chuck,josh,shank,melt,sue,junk,club,,,,
33,fragrance,aroma,scent,funk,scissors,paper,jack,boar,country,rock,blues,soul,bull,buck,shoot,bouquet,,,,
34,penny,nickel,dime,quarter,moon,neck,rainbow,clover,tin,lead,horseshoe,iron,so,again,half,zinc,,,,
35,wallaby,kangaroo,mole rat,wombat,paper,mars,stacks,cheddar,crunch,truth,eye,dough,gun,mounds,koala,chunky,,,,
36,otter,peddle,dolphin,hawk,saddle,chain,spoke,vend,tong,chin,cub,move,brake,hurt,jewel,om,,,,
37,maple,ash,cedar,elm,plain,plateau,mountain,valley,pine,poppy,sesame,everything,fear,onion,hill,jump,,,,
38,clock,watch,second,hourglass,newton,bob,evil,j,pixie,mole,pepper,crop,no,shag,hertz,return,,,,
39,flute,bassoon,oboe,clarinet,wayfarer,hooded,aviator,monk,lid,cover,top,wraparound,harbor,harp,cat eye,cap,,,,
40,fiji,malta,dasani,sam,joe,java,voss,cuba,mud,palau,tony,evian,lucky,pop,japan,brew,,,,
41,snorkel,race,fins,jungle,house,tank,bolt,period,hyphen,comma,sprint,dash,mask,doja,fat,colon,,,,
42,irate,furious,livid,incensed,pelican,canary,booby,gull,school bus,sunflower,beach,beastie,hardy,lost,hurts,banana,,,,
43,plasma,gas,liquid,stale,cut,crush,undo,trash,shellac,paste,slate,tesla,least,rout,copy,return,,,,
44,plane,sonic,boat,sabbath,sun,magic,train,checkers,thunder,subway,stripes,car,day,floyd,outback,king,,,,
45,philadelphia,chicago,manhattan,rio,squall,blizzard,w,tornado,glamour,elle,allure,cosmopolitan,screwdriver,munich,hurricane,cyclone,,,,
46,grassland,tree,desert,go,iguana,gecko,tundra,cobra,monitor,warrior,nae,forest,can,cha,lotus,chameleon,,,,
47,linen,corduroy,specter,tweed,rib,scar,needle,tease,corduroy,denim,genie,beast,linen,rib,specter,ghost,,,,
48,mother,aunt,cousin,nephew,quirky,kooky,wacky,scrooge,donald,cuckoo,grandfather,alarm,biological,dewey,daffy,daisy,,,,
49,mile,foot,yard,inch,samosa,falafel,katsu,schnitzel,pen,tempera,oil,watercolor,dim,nick,quart,schnitzel,,,,
50,grinder,match,blade,tinder,near dark,twilight,west,hoagie,hero,scott,driver,lost boys,hinge,sub,ant,bumble,,,,
51,mouse,keyboard,rat,hamster,organ,speaker,harp,monitor,grouse,triangle,carp,horn,moan,gripe,gerbil,vole,,,,
52,pride,gov,colony,family,high,blazed,swarm,bio,lit,stats,order,herd,class,domain,chem,baked,,,,
53,shrine,altar,temple,abbey,grover,sylvester,garfield,calvin,rocky,tom,harry,felix,,,,,,,,
54,top,puck,blocks,hockey,memory,giggle,eggnog,selfie,yo-yo,duncan,leggings,viola,doll,fish,juliet,baggage,,,,
55,pac,asteroids,pong,swing,tap,swipe,pinch,return,salsa,tango,cent,hustle,frogger,savage,breakout,chainz,,,,
56,romance,lie,horror,kiss,plaid,paisley,western,fib,tale,whopper,musical,dot,goober,fiction,houndstooth,stripes,,,,
57,spider,mite,tick,black widow,flash,shark,storm,state,perch,eel,cribs,blade,jackass,catfish,char,hurts,,,,
58,several,few,pair,some,post,moon,planet,sun,globe,asteroid,plumb,handful,lyme,mellon,journal,asteroid,,,,
59,saw,field,charm,ring,please,purge,scream,delight,brooch,diamond,pendant,anklet,bangle,court,tickle,hurt,,,,
60,hawking,einstein,oppenheimer,feynman,crikey,selling,mate,west,genius,flair,gift,match,barbie,moot,bush,faculty,,,,
61,me,la,fa,pa,pi,co,na,mu,la,ti,xi,ni,ma,fe,he,nu,,,,
62,snap,curl,squat,press,plank,button,lunge,jack,buckle,obvious,nothing,nada,zip,crunch,kangaroo,planet,,,,
63,rover,fly,fido,shirt,observe,notice,spot,see,bait,sinker,storm,lucky,bone,rex,chum,catch,,,,
64,plasma,fire,gas,steam,tree,air,vigor,water,wedding,circus,earth,saturn,liquid,juice,hurts,jewel,,,,
65,millennium,century,decade,year,munch,pancake,omelet,bacon,whistler,rose,juror,close,,,,,,,,
66,pie,cake,tart,cobbler,fudge,miller,mason,smith,one,twist,root,doctor,dancer,meal,fisher,cobbler,,,,
67,pint,cup,quart,gallon,sterling,pound,super,quite,coffee,won,real,awful,sponge,carrot,rand,very,,,,
68,mate,slide,pal,chum,bud,mary jane,skillet,pot,clog,wok,wedge,grass,herb,pump,crock,weed,,,,
69,sleeping bag,tent,camper,lantern,small,medium,wee,jab,cooler,meal,diss,dig,,,,,,,,
70,arizona,colorado,montana,utah,crush,hawk,nevada,rush,genesis,mug,soprano,sprite,kansas,squirt,stark,yes,,,,
71,singer,actor,stand-up,card,heart,love,taste,rose,dasher,cupid,boys,lieutenant,chocolate,hurts,jewel,om,,,,
72,mustache,beard,shadow,stubble,pedal,handlebar,wheel,track,dog,vote,follow,gear,doubt,movie,goatee,return,,,,
73,mastodon,outfit,duds,threads,misses,flops,peck,smack,dodo,trilobite,x,mammoth,smooch,getup,busts,peck,,,,
74,party,bash,shindig,blowout,whale,island,range,sink,mixer,puppet,woodcarver,counter,egg,bunny,cricket,sunday,,,,
75,taboo,nike,risk,killer,opinion,national,trouble,atlas,style,paris,notorious,sorry,foxy,gucci,hermes,business,,,,
76,tender,breast,wing,eagle,snare,stroke,kick,driver,swimming,hole,cymbal,tom,infant,pub,ticker,drumstick,,,,
77,heaven,bliss,paradise,cloud nine,shake,hustle,fast one,high five,racket,bucket,guest,hug,return,hurts,jewel,om,,,,
78,run,onyx,lynx,raven,book,cyber,ibex,split,ash,black,jet,fox,bounce,fat,hurts,jewel,,,,
79,slide,sandbox,swing,seesaw,eye,papyrus,weight,ankh,sway,pull,times,impact,courier,crook,clout,scarab,,,,
80,popper,nick,wing,chip,fry,flap,right,correct,yes,scratch,lumber,nacho,apple,cracker,ding,bingo,,,,
81,tumbler,goblet,coffee,olds,oboe,flute,saxophone,bishop,stein,snifter,balloon,bassoon,frost,clarinet,pound,fricassee,,,,
82,nude,bare,unclad,naked,sack,file,muffin,danish,fumble,turnover,snap,polish,buff,clip,punt,bun,,,,
83,hen,cow,mare,ewe,m,yew,they,it,d,we,v,you,l,i,doe,u,,,,
84,easel,brush,park,canvas,saw,high,neutral,folding,comb,reverse,gear,drive,palette,lawn,first,zipper,,,,
85,graph,chart,map,diagram,stuffing,icing,extra,pie,montero,perk,turkey,satisfaction,gravy,hurts,jewel,om,,,,
86,ogre,gnome,troll,goblin,plant,petal,leaf,stalk,agent,spy,tiger,horse,mole,bud,carrot,hurts,,,,
87,,,,,,,,,,,,,,,,,,,,
88,spirit,scotch,port,sake,coco,essence,soul,brave,stout,up,ticker,heart,cars,cider,red,demo,,,,
89,safe,ball,walk,kiln,flounder,carp,salmon,catfish,strike,oven,smelt,forge,yolk,out,colonel,furnace,,,,
90,jaguar,lion,capybara,legs,hair,foot,bottom,toucan,company,foundation,rent,change,cucumber,grease,base,anaconda,,,,
91,pumpkin,bell,bat,2001,firefly,bones,tombstone,7,weeds,cherry,"20,000",cobweb,22,451,bar,24,,,,
92,coffee,chai,tea,cocoa,root,scoop,bark,trunk,meow,cluck,oink,buzz,dish,branch,dirt,skinny,,,,
93,leave,peon,get out,nepo,us,them,scram,nope,you,pone,santa,go,beanie,fur,open,me,,,,
94,pupil,iris,lens,retina,over,phony,fake,sham,michelle,roger,stan,alejandro,out,bogus,copy,lola,,,,
95,goat,buffalo,sheep,cow,rings,excel,glow,shine,radiate,seedy,envy,beam,floor,vault,cutie,horse,,,,
96,witch,giant,queen,wolf,pigpen,charlie,new york,woodstock,gambit,mate,peppermint patty,bishop,rock 'n roll,you,lucy,return,,,,
97,grape,apricot,lime,berry,stone,lavish,grand,opulent,naive,swank,unwell,envious,fresh,foster,deluxe,fig,,,,
98,quick,outlaw,bright,rogers,southwest,frontier,sharp,cowboy,spirit,sheriff,smart,clever,lasso,mars,drifter,alaska,,,,
99,tab,bookmark,window,link,relation,bond,history,joke,cuff,collar,pocket,tie,laundry,dozen,button,martini,,,,
